epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1230.56,1.50919,0.56829,0.0026,0.95527,0.95005,0.98654,0.65206,1.22866,0.43198,0.00113,0.0014588,0.0014588,0.0014588
43,1258.12,1.50693,0.59966,0.0027,0.96481,0.94248,0.98685,0.6686,1.21738,0.42904,0.00111,0.0014456,0.0014456,0.0014456
44,1286.06,1.47277,0.56203,0.00244,0.95301,0.95598,0.98726,0.7058,1.05335,0.4507,0.00096,0.0014324,0.0014324,0.0014324
45,1314.59,1.49149,0.56902,0.00245,0.9587,0.95018,0.98672,0.67738,1.16292,0.43556,0.00104,0.0014192,0.0014192,0.0014192
46,1343.31,1.49907,0.57108,0.00253,0.95659,0.94126,0.98412,0.66257,1.20008,0.43846,0.00109,0.001406,0.001406,0.001406
47,1372.2,1.49474,0.57092,0.00254,0.95981,0.95653,0.98863,0.68923,1.11479,0.39321,0.00101,0.0013928,0.0013928,0.0013928
48,1400.51,1.51108,0.57511,0.00253,0.95919,0.94709,0.98679,0.7066,1.05696,0.42721,0.00095,0.0013796,0.0013796,0.0013796
49,1428.02,1.50714,0.5867,0.00264,0.95789,0.92489,0.98328,0.68627,1.13916,0.44419,0.00104,0.0013664,0.0013664,0.0013664
50,1456.36,1.4825,0.55338,0.00245,0.96252,0.95555,0.98878,0.68604,1.10482,0.42039,0.001,0.0013532,0.0013532,0.0013532
51,1484.86,1.5129,0.58005,0.00271,0.95712,0.93418,0.98442,0.61669,1.37571,0.45637,0.00122,0.00134,0.00134,0.00134
52,1513.08,1.49382,0.55063,0.00249,0.96143,0.9481,0.98688,0.68961,1.10963,0.41461,0.00101,0.0013268,0.0013268,0.0013268
53,1541.6,1.46028,0.57101,0.00266,0.96284,0.95091,0.98841,0.66309,1.20086,0.406,0.0011,0.0013136,0.0013136,0.0013136
54,1569.3,1.47942,0.54912,0.00242,0.95666,0.95274,0.9884,0.69242,1.11163,0.4458,0.001,0.0013004,0.0013004,0.0013004
55,1596.95,1.47155,0.55088,0.00247,0.97082,0.947,0.98854,0.66995,1.18517,0.40958,0.00108,0.0012872,0.0012872,0.0012872
56,1625.55,1.48763,0.54572,0.00244,0.96719,0.94615,0.98819,0.69452,1.11154,0.41685,0.00099,0.001274,0.001274,0.001274
57,1654.18,1.47178,0.55573,0.00253,0.96677,0.95563,0.98963,0.70864,1.06729,0.38426,0.00097,0.0012608,0.0012608,0.0012608
58,1682.4,1.47048,0.58054,0.00266,0.96487,0.95593,0.98886,0.68105,1.1359,0.39476,0.00103,0.0012476,0.0012476,0.0012476
59,1710.73,1.46844,0.56438,0.00252,0.95357,0.92478,0.98203,0.6869,1.12015,0.45751,0.00101,0.0012344,0.0012344,0.0012344
60,1738.62,1.49226,0.585,0.00272,0.96597,0.93938,0.98663,0.70381,1.07672,0.39714,0.00096,0.0012212,0.0012212,0.0012212
61,1766.95,1.47604,0.56305,0.00252,0.96714,0.94773,0.98798,0.71411,1.05297,0.40381,0.00095,0.001208,0.001208,0.001208
62,1795.85,1.47911,0.55622,0.00253,0.968,0.95659,0.98931,0.69044,1.10583,0.39392,0.001,0.0011948,0.0011948,0.0011948
63,1824.35,1.4543,0.54244,0.00238,0.97131,0.94847,0.98856,0.6849,1.15854,0.39757,0.00106,0.0011816,0.0011816,0.0011816
64,1853.02,1.4642,0.56615,0.00255,0.95207,0.93503,0.9839,0.65248,1.27233,0.44955,0.00113,0.0011684,0.0011684,0.0011684
65,1881.51,1.48492,0.54799,0.00243,0.96994,0.94971,0.98865,0.6595,1.23853,0.40555,0.00113,0.0011552,0.0011552,0.0011552
66,1909.17,1.47395,0.53345,0.00242,0.95956,0.95543,0.98848,0.68798,1.12898,0.40348,0.00102,0.001142,0.001142,0.001142
67,1937.48,1.46665,0.55158,0.00259,0.96315,0.95748,0.98937,0.6663,1.17368,0.39657,0.00108,0.0011288,0.0011288,0.0011288
68,1966.16,1.4819,0.53996,0.00246,0.96866,0.95042,0.98877,0.70456,1.0675,0.38111,0.00096,0.0011156,0.0011156,0.0011156
69,1994.79,1.48413,0.56057,0.00257,0.96499,0.9392,0.98603,0.67378,1.17196,0.4175,0.00107,0.0011024,0.0011024,0.0011024
70,2023.41,1.46947,0.57332,0.00272,0.97157,0.95995,0.99024,0.66761,1.19248,0.36624,0.00108,0.0010892,0.0010892,0.0010892
71,2050.86,1.45236,0.55923,0.00252,0.96224,0.95523,0.98814,0.68047,1.14061,0.4061,0.00104,0.001076,0.001076,0.001076
72,2078.62,1.48086,0.55028,0.00247,0.96912,0.95274,0.9891,0.69686,1.10516,0.39273,0.001,0.0010628,0.0010628,0.0010628
73,2107.48,1.43885,0.55363,0.00253,0.94889,0.93101,0.98222,0.69454,1.09911,0.45147,0.00099,0.0010496,0.0010496,0.0010496
74,2136.31,1.4648,0.53945,0.00238,0.9524,0.9455,0.98592,0.6652,1.19163,0.43157,0.00108,0.0010364,0.0010364,0.0010364
75,2164.68,1.47727,0.55175,0.00249,0.97057,0.95055,0.98878,0.69429,1.1164,0.38586,0.00101,0.0010232,0.0010232,0.0010232
76,2193.3,1.45534,0.53416,0.00245,0.97454,0.94773,0.989,0.70231,1.11373,0.37923,0.001,0.00101,0.00101,0.00101
77,2220.77,1.46625,0.53523,0.00238,0.96512,0.95848,0.98982,0.73321,0.99933,0.36913,0.0009,0.0009968,0.0009968,0.0009968
78,2248.65,1.45818,0.54193,0.00242,0.96922,0.946,0.98809,0.6962,1.11619,0.40218,0.001,0.0009836,0.0009836,0.0009836
79,2277.85,1.45008,0.5371,0.00237,0.96965,0.95181,0.98901,0.6924,1.1228,0.38894,0.00101,0.0009704,0.0009704,0.0009704
80,2306.06,1.44156,0.52637,0.0024,0.97248,0.95482,0.99009,0.67218,1.18132,0.38048,0.00108,0.0009572,0.0009572,0.0009572
81,2334.75,1.41165,0.52331,0.00245,0.96861,0.95722,0.98971,0.7295,0.99313,0.37554,0.00089,0.000944,0.000944,0.000944
82,2363.19,1.44559,0.50742,0.00221,0.96597,0.94985,0.98864,0.66138,1.2185,0.42796,0.00111,0.0009308,0.0009308,0.0009308
83,2390.61,1.43759,0.53227,0.00241,0.95609,0.94397,0.98705,0.70336,1.04865,0.38893,0.00095,0.0009176,0.0009176,0.0009176
84,2419.07,1.47192,0.55305,0.00264,0.96698,0.9476,0.98853,0.72777,1.01047,0.38961,0.00092,0.0009044,0.0009044,0.0009044
85,2447.86,1.43194,0.53802,0.00245,0.97543,0.95408,0.99004,0.69813,1.0964,0.3884,0.00099,0.0008912,0.0008912,0.0008912
86,2476.27,1.44441,0.52964,0.0024,0.9718,0.95909,0.9903,0.73429,0.98537,0.34627,0.00089,0.000878,0.000878,0.000878
87,2504.72,1.40668,0.51416,0.00226,0.97286,0.95435,0.98938,0.66245,1.21635,0.39186,0.00111,0.0008648,0.0008648,0.0008648
88,2532.4,1.46537,0.5287,0.00246,0.97173,0.95698,0.99,0.62636,1.34139,0.42804,0.00123,0.0008516,0.0008516,0.0008516
89,2560.6,1.43909,0.55119,0.0027,0.96791,0.95506,0.98965,0.68093,1.1682,0.39767,0.00106,0.0008384,0.0008384,0.0008384
90,2589.85,1.44499,0.5367,0.00249,0.96817,0.94517,0.9882,0.69362,1.10964,0.3954,0.00101,0.0008252,0.0008252,0.0008252
91,2619.03,1.46079,0.54552,0.00248,0.96945,0.95701,0.99022,0.72511,1.00013,0.36924,0.0009,0.000812,0.000812,0.000812
