epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1554.67,1.46956,0.53005,0.00256,0.97185,0.94261,0.98792,0.67171,1.17172,0.38706,0.00106,0.0015941,0.0015941,0.0015941
43,1590.71,1.46011,0.55283,0.00265,0.97785,0.963,0.99158,0.7012,1.09256,0.34087,0.001,0.0015842,0.0015842,0.0015842
44,1628.07,1.43398,0.5196,0.00238,0.9645,0.93223,0.98594,0.72387,1.00702,0.36788,0.0009,0.0015743,0.0015743,0.0015743
45,1664.72,1.44469,0.51481,0.00242,0.97768,0.96337,0.99126,0.72146,1.02069,0.34425,0.00093,0.0015644,0.0015644,0.0015644
46,1700.6,1.45341,0.51372,0.00255,0.98113,0.95738,0.99117,0.67242,1.17392,0.34916,0.00109,0.0015545,0.0015545,0.0015545
47,1736.67,1.47274,0.52595,0.00247,0.97994,0.96039,0.99134,0.70006,1.10664,0.34408,0.00101,0.0015446,0.0015446,0.0015446
48,1772.94,1.46394,0.52045,0.00247,0.97939,0.96319,0.99215,0.71023,1.07952,0.34184,0.00098,0.0015347,0.0015347,0.0015347
49,1809.74,1.46672,0.5416,0.00253,0.97215,0.95067,0.98859,0.66686,1.20132,0.39213,0.00111,0.0015248,0.0015248,0.0015248
50,1846.34,1.42937,0.50877,0.0024,0.97763,0.9605,0.99162,0.70175,1.08913,0.35182,0.00099,0.0015149,0.0015149,0.0015149
51,1882.16,1.48523,0.55344,0.00274,0.96989,0.95702,0.98912,0.66743,1.17045,0.38544,0.00105,0.001505,0.001505,0.001505
52,1917.54,1.4408,0.50081,0.00233,0.97491,0.95677,0.99077,0.69218,1.13367,0.36471,0.00104,0.0014951,0.0014951,0.0014951
53,1953.14,1.42252,0.52752,0.00259,0.97205,0.95554,0.99028,0.64865,1.31573,0.38455,0.00122,0.0014852,0.0014852,0.0014852
54,1989.39,1.42835,0.50281,0.00235,0.97468,0.96849,0.99183,0.6938,1.13085,0.37427,0.00103,0.0014753,0.0014753,0.0014753
55,2026.27,1.44468,0.51045,0.00247,0.97927,0.95742,0.99111,0.6608,1.25234,0.37756,0.00116,0.0014654,0.0014654,0.0014654
56,2062.05,1.46262,0.51205,0.00244,0.97974,0.95421,0.99059,0.6893,1.146,0.37513,0.00103,0.0014555,0.0014555,0.0014555
57,2098.36,1.44468,0.51412,0.00251,0.98096,0.96373,0.99218,0.71101,1.06556,0.33671,0.00097,0.0014456,0.0014456,0.0014456
58,2134.55,1.42614,0.52715,0.00257,0.97726,0.96239,0.99133,0.70266,1.07713,0.34404,0.00098,0.0014357,0.0014357,0.0014357
59,2171.87,1.41601,0.52205,0.00249,0.97995,0.96544,0.99197,0.67369,1.18462,0.35504,0.0011,0.0014258,0.0014258,0.0014258
